name_ar,name_en,caza_ar,is_municipality,source,added_at
دلافة,Dellafeh,حاصبيا,no,Towns.xlsx,2026-05-31
بريتال,Brital,بعلبك,yes,Towns.xlsx,2026-05-31
دده,Deddeh,الكورة,yes,Towns.xlsx,2026-05-31
الدامور,Damour,الشوف,yes,Towns.xlsx,2026-05-31
سوق الغرب,Souq El-Gharb,عاليه,yes,Towns.xlsx,2026-05-31
حريصا كسروان,Harissa Kesrouane,كسروان,no,Towns.xlsx,2026-05-31
دردغايا,Derdaghaiya,صور,no,Towns.xlsx,2026-05-31
تويتي,Touaite Zahleh,زحلة,no,Towns.xlsx,2026-05-31
وادي الجاموس,Ouadi El-Jamous,عكار,yes,Towns.xlsx,2026-05-31
بتوراتيج,Btouratij,الكورة,yes,Towns.xlsx,2026-05-31
الفنار,Fanar,المتن,yes,Towns.xlsx,2026-05-31
رميش,Rmaich,بنت جبيل,yes,Towns.xlsx,2026-05-31
بقرصونه,Bqarsouna,المنية الضنية,yes,Towns.xlsx,2026-05-31
جل الديب,Jall Ed-Did,المتن,no,Towns.xlsx,2026-05-31
مزرعة بيت مشيك,Mazraat beit Mchaik,بعلبك,no,Towns.xlsx,2026-05-31
حوش القنعبة راشيا,Haouch El Qinnabeh Rachaya,راشيا,no,Towns.xlsx,2026-05-31
غبالة كسروان,Ghbaleh Kesrouane,كسروان,no,Towns.xlsx,2026-05-31
بطشيه,Boutchay,بعبدا,no,Towns.xlsx,2026-05-31
صرفند,Sarafand,صيدا,no,Towns.xlsx,2026-05-31
كفرنبرخ,Kfar Nabrakh,الشوف,yes,Towns.xlsx,2026-05-31
كرم المهر,Karm El-Mohr,المنية الضنية,yes,Towns.xlsx,2026-05-31
مار روكز,Deir mar Roukoz,المتن,no,Towns.xlsx,2026-05-31
القرقف,Qardaf,عكار,yes,Towns.xlsx,2026-05-31
بطمة,Botmeh,الشوف,yes,Towns.xlsx,2026-05-31
هلالية صيدا,Hlaliyeh Saida,صيدا,no,Towns.xlsx,2026-05-31
شربين,Charbine El-Hermel,,no,Towns.xlsx,2026-05-31
بشناتا,Bechnnata,المنية الضنية,no,Towns.xlsx,2026-05-31
ميدون,Maydoun,البقاع الغربي,no,Towns.xlsx,2026-05-31
لبعا,Lebaa,جزين,no,Towns.xlsx,2026-05-31
عين داره,Aain Dara,عاليه,yes,Towns.xlsx,2026-05-31
الناقورة,Borj En-Naqoura,صور,yes,Towns.xlsx,2026-05-31
صوانة مرجعيون,Saouanet Marjayoun,مرجعيون,no,Towns.xlsx,2026-05-31
طرابلس الحدادين,"Trablous El-Haddadine, El-Hadid, El-Mharta",طرابلس,no,Towns.xlsx,2026-05-31
مرجبا,Marjaba,المتن,yes,Towns.xlsx,2026-05-31
تلعباس غربي,Tall Aabbas El-Gharbi,عكار,no,Towns.xlsx,2026-05-31
بعقلين,Baaqline,الشوف,yes,Towns.xlsx,2026-05-31
عين زبدة,Aain Zebdeh,البقاع الغربي,yes,Towns.xlsx,2026-05-31
كفر حاتا,Kfarhata Zgharta,زغرتا,no,Towns.xlsx,2026-05-31
المجدل,Majdel El-Aqoura,جبيل,yes,Towns.xlsx,2026-05-31
زبدين النبطية,Zibdine En-Nabatiyeh,النبطية,no,Towns.xlsx,2026-05-31
عجلتون,Aajaltoun,كسروان,yes,Towns.xlsx,2026-05-31
تمنين التحتا,Temnine Et-Tahta,بعلبك,yes,Towns.xlsx,2026-05-31
بقعاتة عشقوت,Beqaata Aachqout,كسروان,yes,Towns.xlsx,2026-05-31
داريا الشوف,Daraiya Ech-Chouf,الشوف,no,Towns.xlsx,2026-05-31
سهيلة كسروان,Shayleh Kesrouane,كسروان,no,Towns.xlsx,2026-05-31
خريبة الشوف,Khereibet Ech-Chouf,الشوف,no,Towns.xlsx,2026-05-31
يانوح صور,Yanouh Sour,صور,no,Towns.xlsx,2026-05-31
بيت غطاس,Mazraat Beit Ghattas,عكار,no,Towns.xlsx,2026-05-31
قرنايل,Qornayel,بعبدا,yes,Towns.xlsx,2026-05-31
الدوير النبطية,Douair En-Nabatiyeh,النبطية,no,Towns.xlsx,2026-05-31
بوارج,Bouarej,زحلة,yes,Towns.xlsx,2026-05-31
ايعات,Iaat,بعلبك,yes,Towns.xlsx,2026-05-31
يارون,Yaroun,بنت جبيل,no,Towns.xlsx,2026-05-31
عيناتا بعلبك,Aaynata Baalbek,بعلبك,no,Towns.xlsx,2026-05-31
كفرقوق,Kfar Qouq,راشيا,yes,Towns.xlsx,2026-05-31
برتي,Berti,صيدا,yes,Towns.xlsx,2026-05-31
شملان,Chimlane,عاليه,no,Towns.xlsx,2026-05-31
دير ميماس,Deir Mimas,مرجعيون,no,Towns.xlsx,2026-05-31
عطشانة,Aatchaneh,المتن,no,Towns.xlsx,2026-05-31
مزهر,Menqlet Mezher,المتن,no,Towns.xlsx,2026-05-31
ريحانة جزين,Rihane Jezzine,جزين,no,Towns.xlsx,2026-05-31
صّباح,Sabbah,جزين,yes,Towns.xlsx,2026-05-31
الكفور النبطية,Kfour En-Nabatieh,النبطية,no,Towns.xlsx,2026-05-31
زرعون,Zaraaoun,المتن,yes,Towns.xlsx,2026-05-31
بافليه,Bafliyeh,صور,no,Towns.xlsx,2026-05-31
شطاحة,Tallet Chattaha,عكار,no,Towns.xlsx,2026-05-31
بعبدا,Baabda,,no,Towns.xlsx,2026-05-31
