alias_id,registry_id,municipality_id,source_basis,alias_type,alias_value,language,is_primary,confidence,source
ALIAS-MUN-MOIM-2025-7c9249d1aea4-001,MUN-MOIM-2025-7c9249d1aea4,,moim_2025_election_results_unmatched_to_dglac,primary_ar,نبحا+ نبحا قليلة الحرفوش,ar,true,high,registry
ALIAS-MUN-MOIM-2025-7c9249d1aea4-002,MUN-MOIM-2025-7c9249d1aea4,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_نبحا_نبحا_قليلة_الحرفوش,en,false,high,registry
ALIAS-MUN-MOIM-2025-39914a934d4d-001,MUN-MOIM-2025-39914a934d4d,,moim_2025_election_results_unmatched_to_dglac,primary_ar,يحفوفا,ar,true,high,registry
ALIAS-MUN-MOIM-2025-39914a934d4d-002,MUN-MOIM-2025-39914a934d4d,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_baalbek_يحفوفا,en,false,high,registry
ALIAS-MUN-MOIM-2025-9302884394ba-001,MUN-MOIM-2025-9302884394ba,,moim_2025_election_results_unmatched_to_dglac,primary_ar,الشربين,ar,true,high,registry
ALIAS-MUN-MOIM-2025-9302884394ba-002,MUN-MOIM-2025-9302884394ba,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_hermel_الشربين,en,false,high,registry
ALIAS-MUN-MOIM-2025-2ad8ee3d8ba5-001,MUN-MOIM-2025-2ad8ee3d8ba5,,moim_2025_election_results_unmatched_to_dglac,primary_ar,مزرعة سجد,ar,true,high,registry
ALIAS-MUN-MOIM-2025-2ad8ee3d8ba5-002,MUN-MOIM-2025-2ad8ee3d8ba5,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_baalbek_hermel_hermel_مزرعة_سجد,en,false,high,registry
ALIAS-MUN-MOIM-2025-677896a0d5f0-001,MUN-MOIM-2025-677896a0d5f0,,moim_2025_election_results_unmatched_to_dglac,primary_ar,الال,ar,true,high,registry
ALIAS-MUN-MOIM-2025-677896a0d5f0-002,MUN-MOIM-2025-677896a0d5f0,,moim_2025_election_results_unmatched_to_dglac,slug,moim_2025_beqaa_الال,en,false,high,registry
ALIAS-MUN-MOIM-2025-e9887a2710c9-001,MUN-MOIM-2025-e9887a2710c9,,moim_2025_election_results_unmatched_to_dglac,primary_ar,زاليا,ar,true,high,registry
